title,summary,publication_date,source,url,Category
Hezbollah's long-time leader Hassan Nasrallah killed after Israeli strikes on Beirut,"Hezbollah vowed to fight on after confirming Nasrallah's death - hours earlier, Israel's military said it had killed him in a strike on Lebanon's capital.",2024-09-28,BBC,https://www.bbc.comhttps://www.bbc.com/news/live/c981g8mrl8lt,General
Bowen: West left powerless as Israel claims its biggest victory yet against Hezbollah,Diplomats were hoping to calm matters - they will be looking at events with dismay.,2024-09-28,BBC,https://www.bbc.com/news/articles/ckgn5xkp3rko,General
Top stories,"Helene marked one of the largest storms to hit the US, causing widespread devastation across the southeast",2024-09-28,BBC,https://www.bbc.com/news/articles/czd13mezz7mo,General
Japan's scandal-hit ruling party picks next PM,,2024-09-28,BBC,https://www.bbc.com/news/articles/cy89ez894rko,Unknown
Israeli strikes on Lebanon,Escalating cross-border hostilities have heightened fears of an all-out conflict.,2024-09-28,BBC,https://www.bbc.com/news/world-middle-east-67307858,General
More to explore,How did a Philippine nature reserve get caught up in an information battle?,2024-09-28,BBC,https://www.bbc.com/news/articles/cp39zvv6kl4o,General
Most watched,,2024-09-28,BBC,https://www.bbc.com/news/videos/c8j7134jjj0o,Unknown
Also in news,Two weeks ago the world did not know the capybara from Hoo Zoo in Telford existed.,2024-09-28,BBC,https://www.bbc.com/news/articles/c749nwrj1njo,General
Most read,,2024-09-28,BBC,https://www.bbc.com/news/articles/ckgn5xkp3rko,Unknown
Sport,Follow live text updates and radio commentary from five Premier League matches after Newcastle United draw with Manchester City.,2024-09-28,BBC,https://www.bbc.comhttps://www.bbc.com/sport/football/live/cp3d5e33gg5t,General
